target,layer,metric,baseline_raw_pos,delta,n_train_tokens,n_test_tokens
task_index,0,0.895408522485819,0.9907446090368864,-0.0953360865510674,121957,30576
task_index,10,0.9879383746070027,0.9907446090368864,-0.0028062344298837028,121957,30576
task_index,20,0.9840696518434471,0.9907446090368864,-0.006674957193439357,121957,30576
task_index,30,0.9648836353706489,0.9907446090368864,-0.02586097366623752,121957,30576
task_index,41,0.9600745590974512,0.9907446090368864,-0.03067004993943523,121957,30576
within_task_fraction,0,0.8989450359802098,0.0023251297362579804,0.8966199062439518,121957,30576
within_task_fraction,10,0.9543697689709267,0.0023251297362579804,0.9520446392346688,121957,30576
within_task_fraction,20,0.9428010505551416,0.0023251297362579804,0.9404759208188836,121957,30576
within_task_fraction,30,0.9272146941589452,0.0023251297362579804,0.9248895644226872,121957,30576
within_task_fraction,41,0.9204360936608753,0.0023251297362579804,0.9181109639246173,121957,30576
tokens_until_boundary,0,0.8713001916838132,-0.0004414680098485668,0.8717416596936618,121957,30576
tokens_until_boundary,10,0.9067931832130046,-0.0004414680098485668,0.9072346512228532,121957,30576
tokens_until_boundary,20,0.895520617046472,-0.0004414680098485668,0.8959620850563206,121957,30576
tokens_until_boundary,30,0.8793524776287498,-0.0004414680098485668,0.8797939456385984,121957,30576
tokens_until_boundary,41,0.8843617468324323,-0.0004414680098485668,0.8848032148422809,121957,30576
